Name,Gender
Aamir,Male
Aaron,Male
Abbey,Male
Abbie,Male
Abbot,Male
Abbott,Male
Abby,Male
Abdel,Male
Abdul,Male
Abdulkarim,Male
Abdullah,Male
Abe,Male
Abel,Male
Abelard,Male
Abner,Male
Abraham,Male
Abram,Male
Ace,Male
Adair,Male
Adam,Male
Adams,Male
Addie,Male
Adger,Male
Aditya,Male
Adlai,Male
Adnan,Male
Adolf,Male
Adolfo,Male
Adolph,Male
Adolphe,Male
Adolpho,Male
Adolphus,Male
Adrian,Male
Adrick,Male
Adrien,Male
Agamemnon,Male
Aguinaldo,Male
Aguste,Male
Agustin,Male
Aharon,Male
Ahmad,Male
Ahmed,Male
Ahmet,Male
Ajai,Male
Ajay,Male
Al,Male
Alaa,Male
Alain,Male
Alan,Male
Alasdair,Male
Alastair,Male
Albatros,Male
Albert,Male
Alberto,Male
Albrecht,Male
Alden,Male
Aldis,Male
Aldo,Male
Aldric,Male
Aldrich,Male
Aldus,Male
Aldwin,Male
Alec,Male
Aleck,Male
Alejandro,Male
Aleks,Male
Aleksandrs,Male
Alessandro,Male
Alex,Male
Alexander,Male
Alexei,Male
Alexis,Male
Alf,Male
Alfie,Male
Alfonse,Male
Alfonso,Male
Alfonzo,Male
Alford,Male
Alfred,Male
Alfredo,Male
Algernon,Male
Ali,Male
Alic,Male
Alister,Male
Alix,Male
Allah,Male
Allan,Male
Allen,Male
Alley,Male
Allie,Male
Allin,Male
Allyn,Male
Alonso,Male
Alonzo,Male
Aloysius,Male
Alphonse,Male
Alphonso,Male
Alston,Male
Alton,Male
Alvin,Male
Alwin,Male
Amadeus,Male
Ambros,Male
Ambrose,Male
Ambrosi,Male
Ambrosio,Male
Ambrosius,Male
Amery,Male
Amory,Male
Amos,Male
Anatol,Male
Anatole,Male
Anatollo,Male
Anatoly,Male
Anders,Male
Andie,Male
Andonis,Male
Andre,Male
Andrea,Male
Andreas,Male
Andrej,Male
Andres,Male
Andrew,Male
Andrey,Male
Andri,Male
Andros,Male
Andrus,Male
Andrzej,Male
Andy,Male
Angel,Male
Angelico,Male
Angelo,Male
Angie,Male
Angus,Male
Ansel,Male
Ansell,Male
Anselm,Male
Anson,Male
Anthony,Male
Antin,Male
Antoine,Male
Anton,Male
Antone,Male
Antoni,Male
Antonin,Male
Antonino,Male
Antonio,Male
Antonius,Male
Antony,Male
Anurag,Male
Apollo,Male
Apostolos,Male
Aram,Male
Archibald,Male
Archibold,Male
Archie,Male
Archon,Male
Archy,Male
Arel,Male
Ari,Male
Arie,Male
Ariel,Male
Aristotle,Male
Arlo,Male
Armand,Male
Armando,Male
Armond,Male
Armstrong,Male
Arne,Male
Arnie,Male
Arnold,Male
Arnoldo,Male
Aron,Male
Arron,Male
Art,Male
Arther,Male
Arthur,Male
Artie,Male
Artur,Male
Arturo,Male
Arvie,Male
