car_ID,symboling,Fuel_Type,wheelbase,carlength,carwidth,carheight,curbweight,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
1,3,gas,88.6,168.8,64.1,48.8,2548,3.47,2.68,9,111,5000,21,27,13495
2,3,gas,88.6,168.8,64.1,48.8,2548,3.47,2.68,9,111,5000,21,27,16500
3,1,gas,94.5,171.2,65.5,52.4,2823,2.68,3.47,9,154,5000,19,26,16500
4,2,gas,99.8,176.6,66.2,54.3,2337,3.19,3.4,10,102,5500,24,30,13950
5,2,gas,99.4,176.6,66.4,54.3,2824,3.19,3.4,8,115,5500,18,22,17450
6,2,gas,99.8,177.3,66.3,53.1,2507,3.19,3.4,8.5,110,5500,19,25,15250
7,1,gas,105.8,192.7,71.4,55.7,2844,3.19,3.4,8.5,110,5500,19,25,17710
8,1,gas,105.8,192.7,71.4,55.7,2954,3.19,3.4,8.5,110,5500,19,25,18920
9,1,gas,105.8,192.7,71.4,55.9,3086,3.13,3.4,8.3,140,5500,17,20,23875
10,0,gas,99.5,178.2,67.9,52,3053,3.13,3.4,7,160,5500,16,22,17859.167
11,2,gas,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101,5800,23,29,16430
12,0,gas,101.2,176.8,64.8,54.3,2395,3.5,2.8,8.8,101,5800,23,29,16925
13,0,gas,101.2,176.8,64.8,54.3,2710,3.31,3.19,9,121,4250,21,28,20970
14,0,gas,101.2,176.8,64.8,54.3,2765,3.31,3.19,9,121,4250,21,28,21105
15,1,gas,103.5,189,66.9,55.7,3055,3.31,3.19,9,121,4250,20,25,24565
16,0,gas,103.5,189,66.9,55.7,3230,3.62,3.39,8,182,5400,16,22,30760
17,0,gas,103.5,193.8,67.9,53.7,3380,3.62,3.39,8,182,5400,16,22,41315
18,0,gas,110,197,70.9,56.3,3505,3.62,3.39,8,182,5400,15,20,36880
19,2,gas,88.4,141.1,60.3,53.2,1488,2.91,3.03,9.5,48,5100,47,53,5151
20,1,gas,94.5,155.9,63.6,52,1874,3.03,3.11,9.6,70,5400,38,43,6295
21,0,gas,94.5,158.8,63.6,52,1909,3.03,3.11,9.6,70,5400,38,43,6575
22,1,gas,93.7,157.3,63.8,50.8,1876,2.97,3.23,9.41,68,5500,37,41,5572
23,1,gas,93.7,157.3,63.8,50.8,1876,2.97,3.23,9.4,68,5500,31,38,6377
24,1,gas,93.7,157.3,63.8,50.8,2128,3.03,3.39,7.6,102,5500,24,30,7957
25,1,gas,93.7,157.3,63.8,50.6,1967,2.97,3.23,9.4,68,5500,31,38,6229
26,1,gas,93.7,157.3,63.8,50.6,1989,2.97,3.23,9.4,68,5500,31,38,6692
27,1,gas,93.7,157.3,63.8,50.6,1989,2.97,3.23,9.4,68,5500,31,38,7609
28,1,gas,93.7,157.3,63.8,50.6,2191,3.03,3.39,7.6,102,5500,24,30,8558
29,-1,gas,103.3,174.6,64.6,59.8,2535,3.34,3.46,8.5,88,5000,24,30,8921
30,3,gas,95.9,173.2,66.3,50.2,2811,3.6,3.9,7,145,5000,19,24,12964
31,2,gas,86.6,144.6,63.9,50.8,1713,2.91,3.41,9.6,58,4800,49,54,6479
32,2,gas,86.6,144.6,63.9,50.8,1819,2.91,3.41,9.2,76,6000,31,38,6855
33,1,gas,93.7,150,64,52.6,1837,2.91,3.07,10.1,60,5500,38,42,5399
34,1,gas,93.7,150,64,52.6,1940,2.91,3.41,9.2,76,6000,30,34,6529
35,1,gas,93.7,150,64,52.6,1956,2.91,3.41,9.2,76,6000,30,34,7129
36,0,gas,96.5,163.4,64,54.5,2010,2.91,3.41,9.2,76,6000,30,34,7295
37,0,gas,96.5,157.1,63.9,58.3,2024,2.92,3.41,9.2,76,6000,30,34,7295
38,0,gas,96.5,167.5,65.2,53.3,2236,3.15,3.58,9,86,5800,27,33,7895
39,0,gas,96.5,167.5,65.2,53.3,2289,3.15,3.58,9,86,5800,27,33,9095
40,0,gas,96.5,175.4,65.2,54.1,2304,3.15,3.58,9,86,5800,27,33,8845
41,0,gas,96.5,175.4,62.5,54.1,2372,3.15,3.58,9,86,5800,27,33,10295
42,0,gas,96.5,175.4,65.2,54.1,2465,3.15,3.58,9,101,5800,24,28,12945
43,1,gas,96.5,169.1,66,51,2293,3.15,3.58,9.1,100,5500,25,31,10345
44,0,gas,94.3,170.7,61.8,53.5,2337,3.31,3.23,8.5,78,4800,24,29,6785
45,1,gas,94.5,155.9,63.6,52,1874,3.03,3.11,9.6,70,5400,38,43,8916.5
46,0,gas,94.5,155.9,63.6,52,1909,3.03,3.11,9.6,70,5400,38,43,8916.5
47,2,gas,96,172.6,65.2,51.4,2734,3.43,3.23,9.2,90,5000,24,29,11048
48,0,gas,113,199.6,69.6,52.8,4066,3.63,4.17,8.1,176,4750,15,19,32250
49,0,gas,113,199.6,69.6,52.8,4066,3.63,4.17,8.1,176,4750,15,19,35550
50,0,gas,102,191.7,70.6,47.8,3950,3.54,2.76,11.5,262,5000,13,17,36000
51,1,gas,93.1,159.1,64.2,54.1,1890,3.03,3.15,9,68,5000,30,31,5195
52,1,gas,93.1,159.1,64.2,54.1,1900,3.03,3.15,9,68,5000,31,38,6095
53,1,gas,93.1,159.1,64.2,54.1,1905,3.03,3.15,9,68,5000,31,38,6795
54,1,gas,93.1,166.8,64.2,54.1,1945,3.03,3.15,9,68,5000,31,38,6695
55,1,gas,93.1,166.8,64.2,54.1,1950,3.08,3.15,9,68,5000,31,38,7395
56,3,gas,95.3,169,65.7,49.6,2380,3.33,3.255,9.4,101,6000,17,23,10945
57,3,gas,95.3,169,65.7,49.6,2380,3.33,3.255,9.4,101,6000,17,23,11845
58,3,gas,95.3,169,65.7,49.6,2385,3.33,3.255,9.4,101,6000,17,23,13645
59,3,gas,95.3,169,65.7,49.6,2500,3.33,3.255,9.4,135,6000,16,23,15645
60,1,gas,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84,4800,26,32,8845
61,0,gas,98.8,177.8,66.5,55.5,2410,3.39,3.39,8.6,84,4800,26,32,8495
62,1,gas,98.8,177.8,66.5,53.7,2385,3.39,3.39,8.6,84,4800,26,32,10595
63,0,gas,98.8,177.8,66.5,55.5,2410,3.39,3.39,8.6,84,4800,26,32,10245
64,0,diesel,98.8,177.8,66.5,55.5,2443,3.39,3.39,22.7,64,4650,36,42,10795
65,0,gas,98.8,177.8,66.5,55.5,2425,3.39,3.39,8.6,84,4800,26,32,11245
66,0,gas,104.9,175,66.1,54.4,2670,3.76,3.16,8,120,5000,19,27,18280
67,0,diesel,104.9,175,66.1,54.4,2700,3.43,3.64,22,72,4200,31,39,18344
68,-1,diesel,110,190.9,70.3,56.5,3515,3.58,3.64,21.5,123,4350,22,25,25552
69,-1,diesel,110,190.9,70.3,58.7,3750,3.58,3.64,21.5,123,4350,22,25,28248
70,0,diesel,106.7,187.5,70.3,54.9,3495,3.58,3.64,21.5,123,4350,22,25,28176
71,-1,diesel,115.6,202.6,71.7,56.3,3770,3.58,3.64,21.5,123,4350,22,25,31600
72,-1,gas,115.6,202.6,71.7,56.5,3740,3.46,3.1,8.3,155,4750,16,18,34184
73,3,gas,96.6,180.3,70.5,50.8,3685,3.46,3.1,8.3,155,4750,16,18,35056
74,0,gas,120.9,208.1,71.7,56.7,3900,3.8,3.35,8,184,4500,14,16,40960
75,1,gas,112,199.2,72,55.4,3715,3.8,3.35,8,184,4500,14,16,45400
76,1,gas,102.7,178.4,68,54.8,2910,3.78,3.12,8,175,5000,19,24,16503
77,2,gas,93.7,157.3,64.4,50.8,1918,2.97,3.23,9.4,68,5500,37,41,5389
78,2,gas,93.7,157.3,64.4,50.8,1944,2.97,3.23,9.4,68,5500,31,38,6189
79,2,gas,93.7,157.3,64.4,50.8,2004,2.97,3.23,9.4,68,5500,31,38,6669
80,1,gas,93,157.3,63.8,50.8,2145,3.03,3.39,7.6,102,5500,24,30,7689
81,3,gas,96.3,173,65.4,49.4,2370,3.17,3.46,7.5,116,5500,23,30,9959
82,3,gas,96.3,173,65.4,49.4,2328,3.35,3.46,8.5,88,5000,25,32,8499
83,3,gas,95.9,173.2,66.3,50.2,2833,3.58,3.86,7,145,5000,19,24,12629
84,3,gas,95.9,173.2,66.3,50.2,2921,3.59,3.86,7,145,5000,19,24,14869
85,3,gas,95.9,173.2,66.3,50.2,2926,3.59,3.86,7,145,5000,19,24,14489
86,1,gas,96.3,172.4,65.4,51.6,2365,3.35,3.46,8.5,88,5000,25,32,6989
87,1,gas,96.3,172.4,65.4,51.6,2405,3.35,3.46,8.5,88,5000,25,32,8189
88,1,gas,96.3,172.4,65.4,51.6,2403,3.17,3.46,7.5,116,5500,23,30,9279
89,-1,gas,96.3,172.4,65.4,51.6,2403,3.17,3.46,7.5,116,5500,23,30,9279
90,1,gas,94.5,165.3,63.8,54.5,1889,3.15,3.29,9.4,69,5200,31,37,5499
91,1,diesel,94.5,165.3,63.8,54.5,2017,2.99,3.47,21.9,55,4800,45,50,7099
92,1,gas,94.5,165.3,63.8,54.5,1918,3.15,3.29,9.4,69,5200,31,37,6649
