time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-26T05:09:10.629Z,23.2123,86.8925,10,4.7,mb,,99,6.208,0.66,us,us60003sb2,2019-06-22T10:15:08.897Z,"18km WSW of Bankura, India",earthquake,6.5,1.9,0.066,69,reviewed,us,us
2019-02-12T01:32:27.310Z,14.3974,85.73,10,4.9,mb,,78,7.358,0.83,us,us2000jghn,2019-05-01T22:00:34.040Z,"Bay of Bengal",earthquake,5.4,1.6,0.068,68,reviewed,us,us
2018-09-01T18:09:55.250Z,23.4903,82.446,10,4.7,mb,,78,9.928,0.97,us,us2000h6kg,2018-11-07T18:37:08.040Z,"28km NNW of Baikunthpur, India",earthquake,9.2,1.9,0.061,81,reviewed,us,us
2018-08-28T13:03:27.670Z,22.6926,87.7938,10,4.5,mb,,93,4.685,0.6,us,us1000gj5k,2018-11-07T18:37:03.040Z,"8km ENE of Ghatal, India",earthquake,9.1,1.9,0.139,15,reviewed,us,us
2014-05-21T16:21:54.350Z,18.2012,88.0376,47.23,6,mww,,38,5.59,0.63,us,usb000qy82,2015-01-28T16:02:10.607Z,"276km SE of Konarka, India",earthquake,,3.7,,,reviewed,us,us
2013-08-06T18:36:30.500Z,23.3104,88.4902,35.88,4.5,mb,,112,3.802,0.76,us,usb000j2w5,2013-10-12T21:32:30.000Z,"7km NNE of Shantipur, India",earthquake,,8.6,0.383,,reviewed,us,us
2012-06-19T20:14:05.720Z,23.647,70.252,28.6,5,mb,192,87.5,,1.01,us,usp000jmzk,2017-10-11T20:08:55.309Z,"Gujarat, India",earthquake,,4.2,,111,reviewed,us,us
2011-10-20T17:18:34.170Z,21.211,70.533,10,5.1,mwc,89,72,,0.81,us,usp000j9m2,2017-04-26T18:12:41.102Z,"Gujarat, India",earthquake,,,,,reviewed,us,gcmt
2009-12-12T11:51:25.780Z,17.134,73.773,10,4.8,mwc,117,73.1,,0.93,us,usp000h4zh,2017-04-26T18:09:48.994Z,"Maharashtra, India",earthquake,,,,,reviewed,us,gcmt
2009-11-14T13:03:34.710Z,17.089,73.828,10,4.8,mwc,42,92.4,,1.12,us,usp000h41s,2017-04-26T18:09:44.863Z,"Maharashtra, India",earthquake,,,,,reviewed,us,gcmt
2008-09-16T21:47:14.540Z,17.438,73.915,10,5,mb,116,41.5,,1.21,us,usp000gh63,2017-04-13T22:22:52.541Z,"Maharashtra, India",earthquake,,,,65,reviewed,us,us
