Duration,Start date,End date,Start station number,Start station,End station number,End station,Bike number,Member type,lat,lon
1012,2010-09-20 11:27:04,2010-09-20 11:43:56,31208,M St & New Jersey Ave SE,31108,4th & M St SW,W00742,Member,38.8762997,-77.0037
61,2010-09-20 11:41:22,2010-09-20 11:42:23,31209,1st & N St  SE,31209,1st & N St  SE,W00032,Member,38.8742997,-77.0057
2690,2010-09-20 12:05:37,2010-09-20 12:50:27,31600,5th & K St NW,31100,19th St & Pennsylvania Ave NW,W00993,Member,38.9025842,-77.0556545
1406,2010-09-20 12:06:05,2010-09-20 12:29:32,31600,5th & K St NW,31602,Park Rd & Holmead Pl NW,W00344,Member,38.9025842,-77.0556545
1413,2010-09-20 12:10:43,2010-09-20 12:34:17,31100,19th St & Pennsylvania Ave NW,31201,15th & P St NW,W00883,Member,38.9002997,-77.0429
982,2010-09-20 12:14:27,2010-09-20 12:30:50,31109,7th & T St NW,31200,Massachusetts Ave & Dupont Circle NW,W00850,Member,38.9154997,-77.0222
930,2010-09-20 12:15:26,2010-09-20 12:30:56,31109,7th & T St NW,31105,14th & Harvard St NW,W00804,Member,38.9154997,-77.0222
1659,2010-09-20 12:16:36,2010-09-20 12:44:15,31111,10th & U St NW,31208,M St & New Jersey Ave SE,W01084,Member,38.9171997,-77.0259
2496,2010-09-20 12:18:38,2010-09-20 13:00:15,31600,5th & K St NW,31601,19th & East Capitol St SE,W00812,Member,38.9025842,-77.0556545
1487,2010-09-20 12:19:46,2010-09-20 12:44:34,31703,Minnesota Ave Metro/DOES,31603,1st & M St NE,W00803,Member,38.8970883,-76.9476765
1007,2010-09-20 12:21:52,2010-09-20 12:38:39,31500,4th & W St NE,31200,Massachusetts Ave & Dupont Circle NW,W00256,Member,38.9190848,-77.0006503
1159,2010-09-20 12:26:08,2010-09-20 12:45:27,31603,1st & M St NE,31603,1st & M St NE,W01023,Member,38.9056997,-77.0056
88,2010-09-20 12:31:18,2010-09-20 12:32:46,31602,Park Rd & Holmead Pl NW,31602,Park Rd & Holmead Pl NW,W00472,Member,38.9308232,-77.0315137
202,2010-09-20 12:33:05,2010-09-20 12:36:28,31105,14th & Harvard St NW,31103,16th & Harvard St NW,W00685,Member,38.9267997,-77.0322
